"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 07 21:25:52 PST 2022","Mon Mar 07 21:25:52 PST 2022","37","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1jyaivv8ghlbq_SETOPERATIONID","test_1jyaivv8ghlbq_SETOPERATIONID",""
"broken","Mon Mar 07 22:30:00 PST 2022","Mon Mar 07 22:31:15 PST 2022","75025","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1h7oofwws6d7n_SETOPERATIONID","test_1h7oofwws6d7n_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:01 PST 2022","Mon Mar 07 21:26:01 PST 2022","38","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_tolp25vjnjoh_SETOPERATIONID","test_tolp25vjnjoh_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:52 PST 2022","Mon Mar 07 21:25:52 PST 2022","40","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1jy24woqq56qp_SETOPERATIONID","test_1jy24woqq56qp_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:02 PST 2022","Mon Mar 07 21:26:02 PST 2022","33","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_u854p7linskm_SETOPERATIONID","test_u854p7linskm_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:57 PST 2022","Mon Mar 07 21:25:57 PST 2022","29","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_rl2d51c42eea_SETOPERATIONID","test_rl2d51c42eea_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:32 PST 2022","Mon Mar 07 23:46:32 PST 2022","48","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_vf6e9vy84isy_SETOPERATIONID","test_vf6e9vy84isy_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:22 PST 2022","Mon Mar 07 23:46:22 PST 2022","29","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_sl6p9gqec7cj_SETOPERATIONID","test_sl6p9gqec7cj_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:56 PST 2022","Mon Mar 07 21:25:56 PST 2022","27","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_rh89hu9dwhmh_SETOPERATIONID","test_rh89hu9dwhmh_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:32 PST 2022","Mon Mar 07 23:46:32 PST 2022","28","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_vb6dikr9dcft_SETOPERATIONID","test_vb6dikr9dcft_SETOPERATIONID",""
