"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 10 19:50:11 PST 2022","Thu Mar 10 19:50:12 PST 2022","1030","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_uv5tcwadlxdg_v2All","test_uv5tcwadlxdg_v2All",""
"passed","Thu Mar 10 19:40:08 PST 2022","Thu Mar 10 19:40:08 PST 2022","252","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_1hr8ocib5goj5_v3Subregion","test_1hr8ocib5goj5_v3Subregion",""
"passed","Thu Mar 10 19:39:46 PST 2022","Thu Mar 10 19:39:47 PST 2022","258","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_1hb7mzjnmc7qo_v3Currency","test_1hb7mzjnmc7qo_v3Currency",""
"passed","Thu Mar 10 19:43:39 PST 2022","Thu Mar 10 19:43:39 PST 2022","247","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_1k250w2c0heew_v3Alphacodes","test_1k250w2c0heew_v3Alphacodes",""
"passed","Thu Mar 10 19:48:58 PST 2022","Thu Mar 10 19:48:58 PST 2022","304","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_u856ptw2y8fk_v2Name","test_u856ptw2y8fk_v2Name",""
"passed","Thu Mar 10 19:41:41 PST 2022","Thu Mar 10 19:41:41 PST 2022","249","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_1iv6l0vzn7kmr_v3Currency","test_1iv6l0vzn7kmr_v3Currency",""
"passed","Thu Mar 10 19:39:23 PST 2022","Thu Mar 10 19:39:24 PST 2022","747","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_1h7fwfq2qa43a_v3Lang","test_1h7fwfq2qa43a_v3Lang",""
"passed","Thu Mar 10 19:41:37 PST 2022","Thu Mar 10 19:41:38 PST 2022","252","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_1iv1jhcboftbq_v2Lang","test_1iv1jhcboftbq_v2Lang",""
"passed","Thu Mar 10 19:49:12 PST 2022","Thu Mar 10 19:49:14 PST 2022","2087","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_ubgvq3svsgtv_v3All","test_ubgvq3svsgtv_v3All",""
"passed","Thu Mar 10 19:45:34 PST 2022","Thu Mar 10 19:45:34 PST 2022","242","","restcountries.RestcountriesTest_1646969940513","","restcountries.RestcountriesTest_1646969940513","test_rhaj0ss3or4y_v3Subregion","test_rhaj0ss3or4y_v3Subregion",""
