"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 23:20:26 PST 2022","Sun Mar 06 23:20:27 PST 2022","391","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_rh4z0jm4nbjq_browseFeaturedPlaylists","test_rh4z0jm4nbjq_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:21 PST 2022","Sun Mar 06 23:20:21 PST 2022","155","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1hux7zlr2yiie_browseFeaturedPlaylists","test_1hux7zlr2yiie_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:21 PST 2022","Sun Mar 06 23:20:21 PST 2022","111","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1hv0gj4p5il9t_browseFeaturedPlaylists","test_1hv0gj4p5il9t_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:23 PST 2022","Sun Mar 06 23:20:23 PST 2022","119","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1iv9dks276p0x_browseFeaturedPlaylists","test_1iv9dks276p0x_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:33 PST 2022","Sun Mar 06 23:20:33 PST 2022","94","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_us08uzs06gc1_browseFeaturedPlaylists","test_us08uzs06gc1_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:29 PST 2022","Sun Mar 06 23:20:29 PST 2022","105","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_t4ctws8bdgz7_browseFeaturedPlaylists","test_t4ctws8bdgz7_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:24 PST 2022","Sun Mar 06 23:20:24 PST 2022","106","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1jy5h9izj4v1u_browseFeaturedPlaylists","test_1jy5h9izj4v1u_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:29 PST 2022","Sun Mar 06 23:20:29 PST 2022","101","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_tnzijgzea4pt_browseFeaturedPlaylists","test_tnzijgzea4pt_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:30 PST 2022","Sun Mar 06 23:20:30 PST 2022","113","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_tog7276si0kh_browseFeaturedPlaylists","test_tog7276si0kh_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:28 PST 2022","Sun Mar 06 23:20:28 PST 2022","96","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_skxugi3ff22a_browseFeaturedPlaylists","test_skxugi3ff22a_browseFeaturedPlaylists",""
