"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:47 PST 2022","110","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_trwd44sb1sfs_GetAlbums","test_trwd44sb1sfs_GetAlbums",""
"failed","Sun Mar 06 23:05:46 PST 2022","Sun Mar 06 23:05:46 PST 2022","105","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_t8445fuo0zzm_GetAlbums","test_t8445fuo0zzm_GetAlbums",""
"failed","Sun Mar 06 23:05:43 PST 2022","Sun Mar 06 23:05:43 PST 2022","198","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_rkzj16q43mlu_GetAlbums","test_rkzj16q43mlu_GetAlbums",""
"failed","Sun Mar 06 23:05:38 PST 2022","Sun Mar 06 23:05:39 PST 2022","411","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1iv6l3qx8b0hc_GetAlbums","test_1iv6l3qx8b0hc_GetAlbums",""
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","136","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_urmvzsomufqt_GetAlbums","test_urmvzsomufqt_GetAlbums",""
"failed","Sun Mar 06 23:05:46 PST 2022","Sun Mar 06 23:05:46 PST 2022","147","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_t4ned6rk6mp1_GetAlbums","test_t4ned6rk6mp1_GetAlbums",""
"failed","Sun Mar 06 23:05:46 PST 2022","Sun Mar 06 23:05:46 PST 2022","175","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_t4w6rgpbx0z8_GetAlbums","test_t4w6rgpbx0z8_GetAlbums",""
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:47 PST 2022","147","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_tofnykvp2n8y_GetAlbums","test_tofnykvp2n8y_GetAlbums",""
"failed","Sun Mar 06 23:05:44 PST 2022","Sun Mar 06 23:05:44 PST 2022","102","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s1jehl4ule7o_GetAlbums","test_s1jehl4ule7o_GetAlbums",""
"failed","Sun Mar 06 23:05:40 PST 2022","Sun Mar 06 23:05:40 PST 2022","116","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1k22s7wpq2yif_GetAlbums","test_1k22s7wpq2yif_GetAlbums",""
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","136","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_uvk7myb2d0dv_GetAlbums","test_uvk7myb2d0dv_GetAlbums",""
"failed","Sun Mar 06 23:05:44 PST 2022","Sun Mar 06 23:05:44 PST 2022","97","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s4md1kredh7l_GetAlbums","test_s4md1kredh7l_GetAlbums",""
"failed","Sun Mar 06 23:05:36 PST 2022","Sun Mar 06 23:05:37 PST 2022","178","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1ib38ndcqlx6g_GetAlbums","test_1ib38ndcqlx6g_GetAlbums",""
"failed","Sun Mar 06 23:05:45 PST 2022","Sun Mar 06 23:05:45 PST 2022","132","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_sl9g94g2y8fl_GetAlbums","test_sl9g94g2y8fl_GetAlbums",""
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:47 PST 2022","173","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_trz4t6dtz4ft_GetAlbums","test_trz4t6dtz4ft_GetAlbums",""
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","132","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_vbmy7il8mipf_GetAlbums","test_vbmy7il8mipf_GetAlbums",""
"failed","Sun Mar 06 23:05:41 PST 2022","Sun Mar 06 23:05:41 PST 2022","140","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_qxqldpp7xy03_GetAlbums","test_qxqldpp7xy03_GetAlbums",""
"failed","Sun Mar 06 23:05:44 PST 2022","Sun Mar 06 23:05:44 PST 2022","442","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s1bm9lybme78_GetAlbums","test_s1bm9lybme78_GetAlbums",""
"failed","Sun Mar 06 23:05:42 PST 2022","Sun Mar 06 23:05:42 PST 2022","126","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_qxyudgdxdug2_GetAlbums","test_qxyudgdxdug2_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:39 PST 2022","121","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1iyq3tz6mcqxt_GetAlbums","test_1iyq3tz6mcqxt_GetAlbums",""
